,race_code,date,start_time,avg_speed_winner,race_category,distance,points_scale,uci_scale,parcours_type,profilescore,vert_meters,departure,arrival,race_ranking,startlist_quality_score,won_how,race_name,year,stage_number,type_race,prestige,time_trial,final_stage,type_win,sprint_type,solo_win
62,trofeo-laigueglia/2020,2020-02-16,11:00:00,39.04,me - men elite,202.0,1.pro,uci.wr.pro,hill_flat_finish,151.0,2973.0,laigueglia,laigueglia,169,96,10.3 km solo,trofeo-laigueglia,2020,0,one-day-race,other-classic,0,0,solo,no sprint,10.3
63,faun-ardeche-classic/2020,2020-02-29,11:05:00,35.33,me - men elite,184.4,1.pro,uci.wr.pro,hill_flat_finish,196.0,3471.0,guilherand-granges,guilherand-granges,66,303,47.3 km solo,faun-ardeche-classic,2020,0,one-day-race,other-classic,0,0,solo,no sprint,47.3
64,kuurne-brussel-kuurne/2020,2020-03-01,11:48:00,41.98,me - men elite,201.0,1.pro,uci.wr.pro,hill_flat_finish,38.0,1728.0,kuurne,kuurne,32,659,9.8 km solo,kuurne-brussel-kuurne,2020,0,one-day-race,other-classic,0,0,solo,no sprint,9.8
65,la-drome-classic/2020,2020-03-01,11:10:00,38.4,me - men elite,203.0,1.pro,uci.wr.pro,hill_flat_finish,137.0,2612.0,livron-sur-drôme,livron-sur-drôme,63,319,sprint of small group,la-drome-classic,2020,0,one-day-race,other-classic,0,0,sprint,small,
66,gran-trittico-lombardo/2020,2020-08-03,12:00:00,42.64,me - men elite,199.7,1.pro,uci.wr.pro,hill_uphill_finish,93.0,1792.0,legnano,varese,58,252,11.1 km solo,gran-trittico-lombardo,2020,0,one-day-race,other-classic,0,0,solo,no sprint,11.1
67,milano-torino/2020,2020-08-05,13:55:00,45.88,me - men elite,198.0,1.pro,uci.wr.pro,flat,11.0,931.0,mesero,stupinigi,27,490,sprint of large group,milano-torino,2020,0,one-day-race,other-classic,0,0,sprint,large,
68,gran-piemonte/2020,2020-08-12,13:55:00,40.3,me - men elite,187.0,1.pro,uci.wr.pro,hill_flat_finish,104.0,3004.0,santo stefano belbo,barolo,48,289,8 km solo,gran-piemonte,2020,0,one-day-race,other-classic,0,0,solo,no sprint,8.0
69,dwars-door-het-hageland/2020,2020-08-15,11:30:00,41.49,me - men elite,180.0,1.pro,uci.wr.pro,hill_uphill_finish,16.0,991.0,aarschot,diest,82,139,0.8 km solo,dwars-door-het-hageland,2020,0,one-day-race,other-classic,0,0,solo,no sprint,0.8
70,giro-dell-emilia/2020,2020-08-18,11:30:00,39.98,me - men elite,199.7,1.pro,uci.wr.pro,hill_uphill_finish,250.0,3270.0,casalecchio di reno,san luca,55,268,0.5 km solo,giro-dell-emilia,2020,0,one-day-race,other-classic,0,0,solo,no sprint,0.5
71,brussels-cycling-classic/2020,2020-08-30,10:22:00,42.4,me - men elite,204.0,1.pro,uci.wr.pro,flat,40.0,1969.0,brussels,brussels,55,265,sprint of large group,brussels-cycling-classic,2020,0,one-day-race,other-classic,0,0,sprint,large,
72,gp-citta-di-peccioli/2020,2020-09-17,10:00:00,42.17,me - men elite,210.1,1.pro,uci.wr.pro,hill_uphill_finish,63.0,1791.0,peccioli,peccioli,73,176,sprint of small group,gp-citta-di-peccioli,2020,0,one-day-race,other-classic,0,0,sprint,small,
73,brabantse-pijl/2020,2020-10-07,12:37:00,42.74,me - men elite,197.2,1.pro,uci.wr.pro,hill_uphill_finish,64.0,2037.0,leuven,overijse,20,533,sprint of small group,brabantse-pijl,2020,0,one-day-race,other-classic,0,0,sprint,small,
74,paris-tours/2020,2020-10-11,09:50:00,43.81,me - men elite,213.0,1.pro,uci.wr.pro,hill_flat_finish,32.0,1258.0,chartres,tours,45,272,sprint a deux,paris-tours,2020,0,one-day-race,other-classic,0,0,sprint,a deux,
75,scheldeprijs/2020,2020-10-14,13:30:00,48.45,me - men elite,173.3,1.pro,uci.wr.pro,flat,5.0,720.0,schoten,schoten,21,569,sprint of large group,scheldeprijs,2020,0,one-day-race,other-classic,0,0,sprint,large,
76,race-torquay/2020,2020-01-30,16:45:00,43.98,me - men elite,133.0,1.1,uci.wr.1,flat,45.0,1165.0,torquay,torquay,58,367,sprint of small group,race-torquay,2020,0,one-day-race,other-classic,0,0,sprint,small,
77,omloop-het-nieuwsblad/2021,2021-02-27,11:20:00,42.5,me - men elite,200.5,1.wt.b,uci.wr.c3,hill_flat_finish,47.0,1654.0,ghent,ninove,20,647,sprint of large group,omloop-het-nieuwsblad,2021,0,one-day-race,other-classic,0,0,sprint,large,
78,strade-bianche/2021,2021-03-06,11:45:00,39.36,me - men elite,184.0,1.wt.b,uci.wr.c3,hill_uphill_finish,159.0,3072.0,siena,siena,7,827,0.5 km solo,strade-bianche,2021,0,one-day-race,other-classic,0,0,solo,no sprint,0.5
79,milano-sanremo/2021,2021-03-20,10:00:00,45.06,me - men elite,299.0,1.wt.a,uci.wr.c1,hill_flat_finish,59.0,2020.0,milano,sanremo,5,1088,sprint a deux,milano-sanremo,2021,0,one-day-race,monument,0,0,sprint,a deux,
80,oxyclean-classic-brugge-de-panne/2021,2021-03-24,12:15:00,45.71,me - men elite,203.9,1.wt.b,uci.wr.c3,flat,0.0,234.0,brugge,de panne,29,489,sprint of large group,oxyclean-classic-brugge-de-panne,2021,0,one-day-race,other-classic,0,0,sprint,large,
81,e3-harelbeke/2021,2021-03-26,12:15:00,43.24,me - men elite,203.9,1.wt.b,uci.wr.c2,hill_flat_finish,59.0,2000.0,harelbeke,harelbeke,13,714,5 km solo,e3-harelbeke,2021,0,one-day-race,other-classic,0,0,solo,no sprint,5.0
82,gent-wevelgem/2021,2021-03-28,10:15:00,43.46,me - men elite,250.0,1.wt.b,uci.wr.c1,hill_flat_finish,36.0,1425.0,ypres,wevelgem,10,797,sprint of small group,gent-wevelgem,2021,0,one-day-race,other-classic,0,0,sprint,small,
83,dwars-door-vlaanderen/2021,2021-03-31,12:25:00,46.22,me - men elite,184.1,1.wt.b,uci.wr.c3,hill_flat_finish,55.0,1446.0,roeselare,waregem,9,820,58 km solo,dwars-door-vlaanderen,2021,0,one-day-race,other-classic,0,0,solo,no sprint,58.0
84,ronde-van-vlaanderen/2021,2021-04-04,10:18:00,42.13,me - men elite,254.3,1.wt.a,uci.wr.c1,hill_flat_finish,81.0,2198.0,antwerp,oudenaarde,7,872,sprint a deux,ronde-van-vlaanderen,2021,0,one-day-race,monument,0,0,sprint,a deux,
