,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
77,black-spoke-pro-cycling-academy-2021,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2021,black spoke pro cycling academy,6,210,53
78,black-spoke-pro-cycling-academy-2020,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,black spoke pro cycling academy,2,103,69
79,burgos-bh-2022,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2022,burgos-bh,3,712,37
80,burgos-bh-2021,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2021,burgos-bh,0,866,36
81,burgos-bh-2020,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2020,burgos-bh,0,389,49
82,burgos-bh-2019,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2019,burgos-bh,3,776,51
83,caja-rural-seguros-rga-2022,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2022,caja rural - seguros rga,8,1127,29
84,caja-rural-seguros-rga-2021,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2021,caja rural - seguros rga,1,1391,28
85,caja-rural-seguros-rga-2020,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2020,caja rural - seguros rga,4,726,32
86,caja-rural-seguros-rga-2019,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2019,caja rural - seguros rga,7,1543,34
87,eolo-kometa-2022,eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2022,eolo-kometa,3,1417,27
88,eolo-kometa-2021,eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2021,eolo-kometa,5,1051,32
89,kometa-xstra-cycling-team-2020,eolo-kometa-2023,https://www.procyclingstats.com/team/kometa-xstra-cycling-team-2020,kometa xstra cycling team,1,139,59
90,kometa-cycling-team-2019,eolo-kometa-2023,https://www.procyclingstats.com/team/kometa-cycling-team-2019,kometa cycling team,2,291,84
91,equipo-kern-pharma-2022,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2022,equipo kern pharma,2,770,35
92,equipo-kern-pharma-2021,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2021,equipo kern pharma,3,763,34
93,equipo-kern-pharma-2020,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2020,equipo kern pharma,1,293,42
94,euskaltel-euskadi-2022,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2022,euskaltel - euskadi,2,678,41
95,euskaltel-euskadi-2021,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2021,euskaltel - euskadi,2,1077,33
96,euskatel-euskadi-2020,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskatel-euskadi-2020,euskaltel - euskadi,0,411,37
97,fundacia-n-euskadi-2019,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/fundacia-n-euskadi-2019,fundación euskadi,1,349,73
98,bardiani-csf-faizane-2022,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-faizane-2022,bardiani-csf-faizanè,7,1527,28
99,bardiani-csf-2021,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2021,bardiani-csf-faizanè,7,1343,30
100,bardiani-csf-2020,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2020,bardiani-csf-faizanè,1,479,43
101,bardiani-csf-2019,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2019,bardiani - csf,3,817,49
102,human-powered-health-2022,human-powered-health-2023,https://www.procyclingstats.com/team/human-powered-health-2022,human powered health,4,573,38
103,rally-cycling-2021,human-powered-health-2023,https://www.procyclingstats.com/team/rally-cycling-2021,rally cycling,8,746,37
104,rally-cycling-2020,human-powered-health-2023,https://www.procyclingstats.com/team/rally-cycling-2020,rally cycling,2,259,45
105,rally-uhc-cycling-2019,human-powered-health-2023,https://www.procyclingstats.com/team/rally-uhc-cycling-2019,rally uhc cycling,6,990,41
106,israel-premier-tech-2022,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-premier-tech-2022,israel - premier tech,15,5628,19
107,israel-start-up-nation-2021,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-start-up-nation-2021,israel start-up nation,17,6455,12
108,israel-start-up-nation-2020,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-start-up-nation-2020,israel start-up nation,10,3182,20
109,israel-cycling-academy-2019,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-cycling-academy-2019,israel cycling academy,29,5092,17
110,lotto-soudal-2022,lotto-dstny-2023,https://www.procyclingstats.com/team/lotto-soudal-2022,lotto soudal,25,6382,15
