,rider_code,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb
560,koen-bouwman,105,2,2,5,251.0,54.80808080808081,0.01904761904761905,0.01904761904761905,0.047619047619047616,2.3904761904761904
561,samuele-zoccarato,47,0,0,1,64.0,78.0,0.0,0.0,0.02127659574468085,1.3617021276595744
562,vadim-pronskiy,77,0,0,1,32.0,59.0,0.0,0.0,0.012987012987012988,0.4155844155844156
563,luca-covili,71,0,0,1,47.0,57.17460317460318,0.0,0.0,0.014084507042253521,0.6619718309859155
564,simon-pellaud,91,0,0,2,113.0,74.86585365853658,0.0,0.0,0.02197802197802198,1.2417582417582418
565,clement-berthet,43,0,0,0,127.0,37.609756097560975,0.0,0.0,0.0,2.953488372093023
566,alessandro-tonelli,64,0,1,4,125.0,75.51785714285714,0.0,0.015625,0.0625,1.953125
567,alberto-dainese,57,0,1,5,157.0,103.18518518518519,0.0,0.017543859649122806,0.08771929824561403,2.754385964912281
568,mathias-vacek,15,0,1,3,104.0,48.7,0.0,0.06666666666666667,0.2,6.933333333333334
569,marijn-van-den-berg,22,1,2,4,231.0,48.857142857142854,0.045454545454545456,0.09090909090909091,0.18181818181818182,10.5
570,filip-maciejuk,27,0,0,0,16.0,83.71428571428571,0.0,0.0,0.0,0.5925925925925926
571,luca-rastelli,28,0,0,0,0.0,96.04545454545455,0.0,0.0,0.0,0.0
572,ethan-vernon,18,1,2,3,118.0,80.25,0.05555555555555555,0.1111111111111111,0.16666666666666666,6.555555555555555
573,max-kanter,71,0,1,7,144.0,93.12307692307692,0.0,0.014084507042253521,0.09859154929577464,2.028169014084507
574,niklas-markl,19,0,0,0,15.0,87.6875,0.0,0.0,0.0,0.7894736842105263
575,clement-davy,40,0,0,0,10.0,117.36363636363636,0.0,0.0,0.0,0.25
576,matteo-malucelli,13,0,0,0,14.0,98.36363636363636,0.0,0.0,0.0,1.0769230769230769
577,johan-price-pejtersen,19,0,0,0,5.0,114.26666666666667,0.0,0.0,0.0,0.2631578947368421
578,kelland-brien,22,0,0,0,19.0,119.75,0.0,0.0,0.0,0.8636363636363636
579,ben-zwiehoff,67,0,0,5,81.0,58.21875,0.0,0.0,0.07462686567164178,1.208955223880597
580,matthew-riccitello,5,0,0,0,0.0,35.333333333333336,0.0,0.0,0.0,0.0
581,valentin-paret-peintre,25,0,0,0,3.0,65.53333333333333,0.0,0.0,0.0,0.12
582,yannis-voisard,29,0,0,0,7.0,56.23076923076923,0.0,0.0,0.0,0.2413793103448276
583,georg-steinhauser,15,0,0,0,7.0,64.0,0.0,0.0,0.0,0.4666666666666667
584,jason-osborne,5,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
585,thomas-gloag,5,0,0,1,31.0,18.0,0.0,0.0,0.2,6.2
586,harold-tejada,85,0,0,0,6.0,68.24691358024691,0.0,0.0,0.0,0.07058823529411765
587,michel-hessmann,13,0,0,0,22.0,84.61538461538461,0.0,0.0,0.0,1.6923076923076923
588,joshua-tarling,2,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
589,arthur-kluckers,5,0,0,0,0.0,61.0,0.0,0.0,0.0,0.0
590,jan-maas,8,0,0,0,41.0,47.125,0.0,0.0,0.0,5.125
591,louis-vervaeke,86,0,1,3,194.0,62.04054054054054,0.0,0.011627906976744186,0.03488372093023256,2.255813953488372
592,juri-hollmann,28,0,0,0,36.0,63.666666666666664,0.0,0.0,0.0,1.2857142857142858
593,mika-heming,7,0,0,0,0.0,87.66666666666667,0.0,0.0,0.0,0.0
594,tom-paquot,40,0,1,2,76.0,56.75,0.0,0.025,0.05,1.9
595,rick-pluimers,7,0,0,0,6.0,56.666666666666664,0.0,0.0,0.0,0.8571428571428571
596,elmar-reinders,15,0,0,2,48.0,66.7,0.0,0.0,0.13333333333333333,3.2
597,fran-miholjevic,5,0,0,0,0.0,64.66666666666667,0.0,0.0,0.0,0.0
598,filippo-magli2,51,0,0,0,21.0,111.66666666666667,0.0,0.0,0.0,0.4117647058823529
599,rudiger-selig,55,0,0,2,23.0,122.3409090909091,0.0,0.0,0.03636363636363636,0.41818181818181815
600,maurice-ballerstedt,7,0,0,0,10.0,66.71428571428571,0.0,0.0,0.0,1.4285714285714286
601,davide-martinelli,51,0,0,2,30.0,99.45,0.0,0.0,0.0392156862745098,0.5882352941176471
602,matevz-govekar,9,0,0,2,54.0,76.5,0.0,0.0,0.2222222222222222,6.0
603,fabio-van-den-bossche,16,0,0,0,23.0,62.92857142857143,0.0,0.0,0.0,1.4375
604,riccardo-lucca,25,0,0,0,8.0,76.45,0.0,0.0,0.0,0.32
605,luca-colnaghi,14,0,0,0,15.0,69.44444444444444,0.0,0.0,0.0,1.0714285714285714
606,blake-quick,4,0,0,0,0.0,99.0,0.0,0.0,0.0,0.0
607,sam-welsford,7,1,1,1,75.0,96.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.714285714285714
608,bram-welten,20,0,0,1,33.0,65.89473684210526,0.0,0.0,0.05,1.65
609,itamar-einhorn,34,0,0,0,2.0,116.04166666666667,0.0,0.0,0.0,0.058823529411764705
610,maikel-zijlaard,7,0,0,0,1.0,85.0,0.0,0.0,0.0,0.14285714285714285
611,enrico-zanoncello,7,0,0,0,0.0,118.0,0.0,0.0,0.0,0.0
612,arvid-de-kleijn,7,1,1,2,89.0,66.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,12.714285714285714
613,sebastian-kolze-changizi,6,0,0,0,0.0,97.2,0.0,0.0,0.0,0.0
614,cameron-wurf,31,0,0,0,10.0,92.65,0.0,0.0,0.0,0.3225806451612903
615,andrea-garosio,67,0,0,1,101.0,59.833333333333336,0.0,0.0,0.014925373134328358,1.507462686567164
616,mick-van-dijke,18,0,0,1,34.0,53.75,0.0,0.0,0.05555555555555555,1.8888888888888888
617,clement-champoussin,102,1,4,20,630.0,44.252631578947366,0.00980392156862745,0.0392156862745098,0.19607843137254902,6.176470588235294
618,jonathan-castroviejo,139,0,2,3,151.0,63.97674418604651,0.0,0.014388489208633094,0.02158273381294964,1.0863309352517985
619,antonio-soto,41,1,1,6,175.0,77.94871794871794,0.024390243902439025,0.024390243902439025,0.14634146341463414,4.2682926829268295
620,colin-joyce,25,0,0,0,5.0,85.10526315789474,0.0,0.0,0.0,0.2
621,juan-jose-lobato,48,0,0,1,26.0,115.1842105263158,0.0,0.0,0.020833333333333332,0.5416666666666666
622,alan-riou,56,1,1,1,123.0,85.34146341463415,0.017857142857142856,0.017857142857142856,0.017857142857142856,2.1964285714285716
623,joan-bou,57,0,0,0,0.0,91.53061224489795,0.0,0.0,0.0,0.0
