,rider_code,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial
442,alexander-kamp,6,0,0,0,0.0,103.66666666666667,0.0,0.0,0.0,0.0
443,baptiste-planckaert,4,0,0,0,0.0,110.25,0.0,0.0,0.0,0.0
444,anthony-turgis,12,0,0,0,0.0,79.0,0.0,0.0,0.0,0.0
445,robin-froidevaux,1,0,0,0,0.0,34.0,0.0,0.0,0.0,0.0
446,lewis-askey,1,0,0,0,0.0,68.0,0.0,0.0,0.0,0.0
447,daryl-impey,9,0,0,0,0.0,59.0,0.0,0.0,0.0,0.0
448,david-de-la-cruz,14,0,0,2,31.0,38.857142857142854,0.0,0.0,0.14285714285714285,2.2142857142857144
449,daniel-navarro,10,0,0,0,0.0,118.5,0.0,0.0,0.0,0.0
450,luis-angel-mate,8,0,0,0,0.0,117.5,0.0,0.0,0.0,0.0
451,gotzon-martin,6,0,0,0,0.0,115.83333333333333,0.0,0.0,0.0,0.0
452,julen-amezqueta,6,0,0,0,0.0,97.5,0.0,0.0,0.0,0.0
453,mikel-bizkarra,8,0,0,0,0.0,90.75,0.0,0.0,0.0,0.0
454,floris-de-tier,6,0,0,0,0.0,137.2,0.0,0.0,0.0,0.0
455,nick-schultz,13,0,0,0,0.0,74.15384615384616,0.0,0.0,0.0,0.0
456,mikel-iturria,8,0,0,0,0.0,109.0,0.0,0.0,0.0,0.0
457,angel-madrazo,7,0,0,0,0.0,125.28571428571429,0.0,0.0,0.0,0.0
458,imanol-erviti,14,0,0,0,0.0,86.42857142857143,0.0,0.0,0.0,0.0
459,thomas-pidcock,4,0,0,0,1.0,59.5,0.0,0.0,0.0,0.25
460,jetse-bol,7,0,0,0,0.0,133.0,0.0,0.0,0.0,0.0
461,jay-vine,4,0,0,0,0.0,64.25,0.0,0.0,0.0,0.0
462,ander-okamika,5,0,0,0,0.0,141.2,0.0,0.0,0.0,0.0
463,damien-touze,7,0,0,0,0.0,60.42857142857143,0.0,0.0,0.0,0.0
464,antonio-soto,3,0,0,0,0.0,68.33333333333333,0.0,0.0,0.0,0.0
465,pelayo-sanchez-mayo,3,0,0,0,0.0,93.0,0.0,0.0,0.0,0.0
466,maxim-van-gils,9,0,0,0,0.0,97.88888888888889,0.0,0.0,0.0,0.0
467,fernando-barcelo,7,0,0,0,0.0,133.14285714285714,0.0,0.0,0.0,0.0
468,andrea-bagioli,6,0,0,1,12.0,41.833333333333336,0.0,0.0,0.16666666666666666,2.0
469,eddy-fine,3,0,0,0,0.0,135.33333333333334,0.0,0.0,0.0,0.0
470,joan-bou,4,0,0,0,0.0,107.75,0.0,0.0,0.0,0.0
471,carlos-canal,4,0,0,0,0.0,104.5,0.0,0.0,0.0,0.0
472,xabier-mikel-azparren-irurzun,6,0,0,0,0.0,36.333333333333336,0.0,0.0,0.0,0.0
473,alex-kirsch,11,0,0,0,0.0,81.0909090909091,0.0,0.0,0.0,0.0
474,florian-vermeersch,8,0,1,2,11.0,26.625,0.0,0.125,0.25,1.375
475,edward-planckaert,6,0,0,0,0.0,126.5,0.0,0.0,0.0,0.0
476,piet-allegaert,5,0,0,0,0.0,115.75,0.0,0.0,0.0,0.0
477,jon-aberasturi,6,0,0,0,0.0,151.33333333333334,0.0,0.0,0.0,0.0
478,sebastian-berwick,5,0,0,0,0.0,110.8,0.0,0.0,0.0,0.0
479,martin-laas,4,0,0,0,0.0,146.75,0.0,0.0,0.0,0.0
480,fabio-jakobsen,8,0,0,0,0.0,134.875,0.0,0.0,0.0,0.0
481,mikkel-bjerg,16,1,3,7,166.0,15.375,0.0625,0.1875,0.4375,10.375
482,nils-eekhoff,6,0,0,1,4.0,47.5,0.0,0.0,0.16666666666666666,0.6666666666666666
483,daan-hoole,4,0,0,2,15.0,16.5,0.0,0.0,0.5,3.75
484,inigo-elosegui,2,0,0,0,0.0,50.5,0.0,0.0,0.0,0.0
485,ethan-vernon,3,0,0,1,4.0,21.666666666666668,0.0,0.0,0.3333333333333333,1.3333333333333333
486,antonio-puppio,1,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
487,filip-maciejuk,5,0,0,0,0.0,41.0,0.0,0.0,0.0,0.0
488,biniam-girmay,4,0,0,0,0.0,69.75,0.0,0.0,0.0,0.0
489,nickolas-zukowsky,4,0,0,0,0.0,90.75,0.0,0.0,0.0,0.0
490,juri-hollmann,2,0,0,0,0.0,42.5,0.0,0.0,0.0,0.0
491,yevgeniy-fedorov,7,0,0,0,10.0,32.285714285714285,0.0,0.0,0.0,1.4285714285714286
492,chih-hao-tu,1,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0
493,andre-carvalho,2,0,0,0,0.0,87.5,0.0,0.0,0.0,0.0
494,james-fouche,1,0,0,0,0.0,44.0,0.0,0.0,0.0,0.0
495,nils-politt,13,0,1,2,49.0,42.23076923076923,0.0,0.07692307692307693,0.15384615384615385,3.769230769230769
496,soren-waerenskjold,2,1,1,2,27.0,2.5,0.5,0.5,1.0,13.5
497,mick-van-dijke,3,0,0,1,6.0,20.0,0.0,0.0,0.3333333333333333,2.0
498,filippo-baroncini,1,0,0,1,0.0,9.0,0.0,0.0,1.0,0.0
499,logan-currie,2,0,0,1,7.0,7.5,0.0,0.0,0.5,3.5
500,fran-miholjevic,2,0,0,0,0.0,11.5,0.0,0.0,0.0,0.0
501,alexandre-balmer,2,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
502,jenno-berckmoes,1,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
503,marcus-sander-hansen,1,0,0,0,0.0,23.0,0.0,0.0,0.0,0.0
504,kevin-vauquelin,1,0,0,0,0.0,25.0,0.0,0.0,0.0,0.0
505,maurice-ballerstedt,1,0,0,0,0.0,28.0,0.0,0.0,0.0,0.0
506,matthew-riccitello,1,0,0,0,0.0,30.0,0.0,0.0,0.0,0.0
507,marco-frigo,1,0,0,0,0.0,33.0,0.0,0.0,0.0,0.0
508,igor-chzhan,1,0,0,0,0.0,37.0,0.0,0.0,0.0,0.0
509,arthur-kluckers,1,0,0,0,0.0,41.0,0.0,0.0,0.0,0.0
510,negasi-abreha,1,0,0,0,0.0,64.0,0.0,0.0,0.0,0.0
511,henok-mulubrhan,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
512,carlos-rodriguez-cano,4,0,0,1,35.0,24.0,0.0,0.0,0.25,8.75
513,rigoberto-uran,14,1,1,4,184.0,31.357142857142858,0.07142857142857142,0.07142857142857142,0.2857142857142857,13.142857142857142
514,aaron-gate,1,0,0,1,32.0,4.0,0.0,0.0,1.0,32.0
515,rune-herregodts,2,0,0,1,24.0,11.5,0.0,0.0,0.5,12.0
516,anthony-delaplace,8,0,0,0,8.0,68.375,0.0,0.0,0.0,1.0
517,mathijs-paasschens,1,0,0,0,2.0,19.0,0.0,0.0,0.0,2.0
518,emilien-jeanniere,1,0,0,0,0.0,24.0,0.0,0.0,0.0,0.0
519,tao-geoghegan-hart,17,0,0,3,37.0,44.8235294117647,0.0,0.0,0.17647058823529413,2.176470588235294
520,alec-segaert,1,0,1,1,14.0,2.0,0.0,1.0,1.0,14.0
521,leo-hayter,1,0,1,1,8.0,3.0,0.0,1.0,1.0,8.0
522,mathias-vacek,2,0,0,1,0.0,30.0,0.0,0.0,0.5,0.0
523,lorenzo-milesi,1,0,0,1,0.0,10.0,0.0,0.0,1.0,0.0
524,lennert-van-eetvelt,1,0,0,0,0.0,14.0,0.0,0.0,0.0,0.0
525,davide-piganzoli,1,0,0,0,0.0,16.0,0.0,0.0,0.0,0.0
526,gleb-brussenskiy,1,0,0,0,0.0,22.0,0.0,0.0,0.0,0.0
527,danny-van-der-tuuk,1,0,0,0,0.0,24.0,0.0,0.0,0.0,0.0
528,ahmed-madan,1,0,0,0,0.0,32.0,0.0,0.0,0.0,0.0
529,ivan-romeo,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
530,bruno-armirail,14,0,0,3,82.0,43.285714285714285,0.0,0.0,0.21428571428571427,5.857142857142857
531,derek-gee,1,0,0,0,10.0,19.0,0.0,0.0,0.0,10.0
532,alexander-salby,1,0,0,0,10.0,42.0,0.0,0.0,0.0,10.0
