,rider_code,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day
862,arno-claeys,8,0,0,0,0.0,85.5,0.0,0.0,0.0,0.0
863,alexander-salby,3,0,0,0,0.0,109.0,0.0,0.0,0.0,0.0
864,alex-baudin,4,0,0,0,32.0,22.0,0.0,0.0,0.0,8.0
865,matheo-vercher,8,0,1,1,43.0,28.4,0.0,0.125,0.125,5.375
866,axel-mariault,23,0,0,0,24.0,57.64705882352941,0.0,0.0,0.0,1.0434782608695652
867,michael-vink,9,0,0,0,5.0,100.0,0.0,0.0,0.0,0.5555555555555556
868,simone-olivero,4,0,0,0,0.0,,0.0,0.0,0.0,0.0
869,jan-stockli,11,0,0,0,0.0,58.5,0.0,0.0,0.0,0.0
870,gage-hecht,16,0,0,0,0.0,101.5,0.0,0.0,0.0,0.0
871,bart-lemmen,3,0,0,1,16.0,14.5,0.0,0.0,0.3333333333333333,5.333333333333333
872,toon-clynhens,14,0,0,0,0.0,57.888888888888886,0.0,0.0,0.0,0.0
873,marcus-sander-hansen,3,0,0,0,0.0,69.0,0.0,0.0,0.0,0.0
874,ivan-cobo-cayon,9,0,0,0,10.0,30.0,0.0,0.0,0.0,1.1111111111111112
875,cameron-scott,6,0,0,0,0.0,39.25,0.0,0.0,0.0,0.0
876,mitchel-fitzsimons,6,0,0,0,0.0,74.0,0.0,0.0,0.0,0.0
877,adne-holter,7,0,0,0,0.0,43.75,0.0,0.0,0.0,0.0
878,elias-maris,9,0,0,0,0.0,59.111111111111114,0.0,0.0,0.0,0.0
879,max-poole,2,0,0,0,0.0,81.0,0.0,0.0,0.0,0.0
880,lenny-martinez,7,0,0,2,52.0,19.833333333333332,0.0,0.0,0.2857142857142857,7.428571428571429
881,alex-martin-gutierrez,9,0,0,0,4.0,53.714285714285715,0.0,0.0,0.0,0.4444444444444444
882,chih-hao-tu,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
883,welay-hagos-berhe,3,0,0,0,0.0,69.33333333333333,0.0,0.0,0.0,0.0
884,pierre-gautherat,8,0,0,2,45.0,45.857142857142854,0.0,0.0,0.25,5.625
885,mark-stewart,4,0,0,0,0.0,73.0,0.0,0.0,0.0,0.0
886,matyas-kopecky,4,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
887,hamish-beadle,5,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
888,andoni-lopez-de-abetxuko-jimenez,4,0,0,0,0.0,94.0,0.0,0.0,0.0,0.0
889,miguel-angel-fernandez-ruiz,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
890,iker-bonillo-martin,2,0,0,0,0.0,116.0,0.0,0.0,0.0,0.0
891,filippo-ridolfo,3,0,0,0,0.0,,0.0,0.0,0.0,0.0
892,stian-fredheim,3,0,0,0,5.0,23.0,0.0,0.0,0.0,1.6666666666666667
893,gerd-de-keijzer,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
894,manuele-tarozzi,1,0,0,0,0.0,44.0,0.0,0.0,0.0,0.0
895,florian-lipowitz,1,0,0,0,0.0,46.0,0.0,0.0,0.0,0.0
896,gleb-syritsa,4,0,0,0,0.0,133.0,0.0,0.0,0.0,0.0
897,giulio-pellizzari,3,0,0,0,0.0,71.66666666666667,0.0,0.0,0.0,0.0
898,alessandro-pinarello,2,0,0,0,0.0,59.5,0.0,0.0,0.0,0.0
899,igor-chzhan,1,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0
900,george-jackson,1,0,0,0,0.0,,0.0,0.0,0.0,0.0
901,luca-van-boven,3,0,0,0,5.0,84.0,0.0,0.0,0.0,1.6666666666666667
902,vincent-van-hemelen,10,0,0,0,0.0,53.8,0.0,0.0,0.0,0.0
903,filippo-colombo1,3,0,0,0,5.0,76.0,0.0,0.0,0.0,1.6666666666666667
904,marcel-camprubi,3,0,0,0,0.0,80.0,0.0,0.0,0.0,0.0
905,davide-piganzoli,4,0,0,0,0.0,73.0,0.0,0.0,0.0,0.0
906,javier-serrano,5,0,0,0,0.0,86.0,0.0,0.0,0.0,0.0
907,alejandro-franco-gonzalez,6,0,0,0,0.0,106.0,0.0,0.0,0.0,0.0
908,mikel-retegi,7,0,0,0,0.0,72.83333333333333,0.0,0.0,0.0,0.0
