,rider_code,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
197,ivan-garcia-cortina,53,1,2,7,501.0,28.45098039215686,0.018867924528301886,0.03773584905660377,0.1320754716981132,9.452830188679245
198,mads-wurtz-schmidt,45,0,0,1,19.0,88.5625,0.0,0.0,0.022222222222222223,0.4222222222222222
199,jasper-de-buyst,62,0,2,6,263.0,67.75,0.0,0.03225806451612903,0.0967741935483871,4.241935483870968
200,matej-mohoric,48,1,3,10,500.0,51.680851063829785,0.020833333333333332,0.0625,0.20833333333333334,10.416666666666666
201,fabien-grellier,28,0,0,0,5.0,93.5,0.0,0.0,0.0,0.17857142857142858
202,matthieu-ladagnous,28,0,0,1,22.0,92.67857142857143,0.0,0.0,0.03571428571428571,0.7857142857142857
203,lukasz-wisniowski,51,0,0,0,46.0,77.87234042553192,0.0,0.0,0.0,0.9019607843137255
204,elia-viviani,67,6,18,37,1548.0,26.0,0.08955223880597014,0.26865671641791045,0.5522388059701493,23.104477611940297
205,anthony-turgis,58,0,2,8,530.0,56.735849056603776,0.0,0.034482758620689655,0.13793103448275862,9.137931034482758
206,caleb-ewan,68,14,32,44,2169.0,23.60655737704918,0.20588235294117646,0.47058823529411764,0.6470588235294118,31.897058823529413
207,yves-lampaert,48,1,5,13,1152.0,51.148936170212764,0.020833333333333332,0.10416666666666667,0.2708333333333333,24.0
208,chad-haga,29,0,0,0,5.0,115.64285714285714,0.0,0.0,0.0,0.1724137931034483
209,aime-de-gendt,59,0,1,2,212.0,73.05555555555556,0.0,0.01694915254237288,0.03389830508474576,3.593220338983051
210,niccolo-bonifazio,52,1,4,9,432.0,42.46341463414634,0.019230769230769232,0.07692307692307693,0.17307692307692307,8.307692307692308
211,amund-grondahl-jansen,46,0,0,1,142.0,77.56410256410257,0.0,0.0,0.021739130434782608,3.0869565217391304
212,dylan-groenewegen,59,7,21,40,1785.0,22.228070175438596,0.11864406779661017,0.3559322033898305,0.6779661016949152,30.25423728813559
213,michael-hepburn,51,0,0,0,20.0,90.31914893617021,0.0,0.0,0.0,0.39215686274509803
214,michael-morkov,75,0,3,11,467.0,45.726027397260275,0.0,0.04,0.14666666666666667,6.226666666666667
215,primoz-roglic,42,0,1,2,56.0,39.166666666666664,0.0,0.023809523809523808,0.047619047619047616,1.3333333333333333
216,richard-carapaz,41,0,0,0,4.0,49.51219512195122,0.0,0.0,0.0,0.0975609756097561
