,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
94,2,euskaltel-euskadi-2022,https://www.procyclingstats.com/team/euskaltel-euskadi-2022,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2022,Euskaltel - Euskadi,2,678,41,65
95,3,euskaltel-euskadi-2021,https://www.procyclingstats.com/team/euskaltel-euskadi-2021,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskaltel-euskadi-2021,Euskaltel - Euskadi,2,1077,33,-
96,5,euskatel-euskadi-2020,https://www.procyclingstats.com/team/euskatel-euskadi-2020,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/euskatel-euskadi-2020,Euskaltel - Euskadi,-,411,37,-
97,6,fundacia-n-euskadi-2019,https://www.procyclingstats.com/team/fundacia-n-euskadi-2019,euskaltel-euskadi-2023,https://www.procyclingstats.com/team/fundacia-n-euskadi-2019,Fundación Euskadi,1,349,73,-
98,5,bardiani-csf-faizane-2022,https://www.procyclingstats.com/team/bardiani-csf-faizane-2022,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-faizane-2022,Bardiani-CSF-Faizanè,7,1527,28,29
99,6,bardiani-csf-2021,https://www.procyclingstats.com/team/bardiani-csf-2021,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2021,Bardiani-CSF-Faizanè,7,1343,30,-
100,7,bardiani-csf-2020,https://www.procyclingstats.com/team/bardiani-csf-2020,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2020,Bardiani-CSF-Faizanè,1,479,43,-
101,8,bardiani-csf-2019,https://www.procyclingstats.com/team/bardiani-csf-2019,green-project-bardiani-csf-faizane-2023,https://www.procyclingstats.com/team/bardiani-csf-2019,Bardiani - CSF,3,817,49,-
102,2,human-powered-health-2022,https://www.procyclingstats.com/team/human-powered-health-2022,human-powered-health-2023,https://www.procyclingstats.com/team/human-powered-health-2022,Human Powered Health,4,573,38,39
103,3,rally-cycling-2021,https://www.procyclingstats.com/team/rally-cycling-2021,human-powered-health-2023,https://www.procyclingstats.com/team/rally-cycling-2021,Rally Cycling,8,746,37,-
104,4,rally-cycling-2020,https://www.procyclingstats.com/team/rally-cycling-2020,human-powered-health-2023,https://www.procyclingstats.com/team/rally-cycling-2020,Rally Cycling,2,259,45,-
105,5,rally-uhc-cycling-2019,https://www.procyclingstats.com/team/rally-uhc-cycling-2019,human-powered-health-2023,https://www.procyclingstats.com/team/rally-uhc-cycling-2019,Rally UHC Cycling,6,990,41,-
106,3,israel-premier-tech-2022,https://www.procyclingstats.com/team/israel-premier-tech-2022,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-premier-tech-2022,Israel - Premier Tech,15,5628,19,19
107,4,israel-start-up-nation-2021,https://www.procyclingstats.com/team/israel-start-up-nation-2021,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-start-up-nation-2021,Israel Start-Up Nation,17,6455,12,-
108,5,israel-start-up-nation-2020,https://www.procyclingstats.com/team/israel-start-up-nation-2020,israel-premier-tech-2023,https://www.procyclingstats.com/team/israel-start-up-nation-2020,Israel Start-Up Nation,10,3182,20,-
