,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
1283,DNF,194,,PIRAS AndreaBeltrami TSA - Tre Colli,20,Beltrami TSA - Tre Colli,,,-,gp-d-ouverture/2023
1284,DNF,197,,VANNI MichaelBeltrami TSA - Tre Colli,19,Beltrami TSA - Tre Colli,,,-,gp-d-ouverture/2023
1285,DNF,55,,PADUN MarkEF Education-EasyPost,26,EF Education-EasyPost,,,-,gp-d-ouverture/2023
1286,DNS,35,,STEWART JakeGroupama - FDJ,23,Groupama - FDJ,,,-,gp-d-ouverture/2023
1287,DNS,142,,CHARRIN AloïsTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,-,gp-d-ouverture/2023
1288,,,,,,,,,,trofeo-palma/2023
1289,1,13,,VERNON EthanSoudal - Quick Step,22,Soudal - Quick Step,125,75,3:17:57,trofeo-palma/2023
1290,2,69,,GIRMAY BiniamIntermarché - Circus - Wanty,22,Intermarché - Circus - Wanty,85,55,",,0:00",trofeo-palma/2023
1291,3,105,,VAN DE PAAR JarneLotto Dstny,22,Lotto Dstny,70,40,",,0:00",trofeo-palma/2023
1292,4,20,,GARCÍA CORTINA IvánMovistar Team,27,Movistar Team,60,32,",,0:00",trofeo-palma/2023
1293,5,33,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,50,28,",,0:00",trofeo-palma/2023
1294,6,195,,ANIOŁKOWSKI StanisławHuman Powered Health,26,Human Powered Health,40,24,",,0:00",trofeo-palma/2023
1295,7,109,,VAN ASBROECK TomIsrael - Premier Tech,32,Israel - Premier Tech,35,20,",,0:00",trofeo-palma/2023
1296,8,117,,BABOR DanielCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,30,18,",,0:00",trofeo-palma/2023
1297,9,55,,ZINGLE AxelCofidis,24,Cofidis,25,16,",,0:00",trofeo-palma/2023
1298,10,58,,DOULL OwainEF Education-EasyPost,29,EF Education-EasyPost,20,14,",,0:00",trofeo-palma/2023
1299,11,113,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,15,12,",,0:00",trofeo-palma/2023
1300,12,162,,CANAL CarlosEuskaltel - Euskadi,21,Euskaltel - Euskadi,10,10,",,0:00",trofeo-palma/2023
1301,13,46,,WALLS MatthewBORA - hansgrohe,24,BORA - hansgrohe,5,8,",,0:00",trofeo-palma/2023
1302,14,16,,ROJAS José JoaquínMovistar Team,37,Movistar Team,5,7,",,0:00",trofeo-palma/2023
1303,15,92,,GRONDIN DonavanTeam Arkéa Samsic,22,Team Arkéa Samsic,5,6,",,0:00",trofeo-palma/2023
1304,16,129,,MARTIN DavidEOLO-Kometa,23,EOLO-Kometa,3,5,",,0:00",trofeo-palma/2023
1305,17,168,,MARTÍN GotzonEuskaltel - Euskadi,26,Euskaltel - Euskadi,3,4,",,0:00",trofeo-palma/2023
1306,18,163,,SOTO Antonio JesúsEuskaltel - Euskadi,28,Euskaltel - Euskadi,3,3,",,0:00",trofeo-palma/2023
1307,19,127,,MAESTRI MircoEOLO-Kometa,31,EOLO-Kometa,3,2,",,0:00",trofeo-palma/2023
1308,20,150,,FIORELLI FilippoGreen Project-Bardiani CSF-Faizanè,28,Green Project-Bardiani CSF-Faizanè,3,1,",,0:00",trofeo-palma/2023
1309,21,17,,ARANBURU AlexMovistar Team,27,Movistar Team,3,,",,0:00",trofeo-palma/2023
1310,22,147,,EZQUERRA JesúsBurgos-BH,32,Burgos-BH,3,,",,0:00",trofeo-palma/2023
1311,23,148,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,3,,",,0:00",trofeo-palma/2023
1312,24,181,,LÓPEZ JordiEquipo Kern Pharma,24,Equipo Kern Pharma,3,,",,0:00",trofeo-palma/2023
1313,25,4,,BALLERINI DavideSoudal - Quick Step,28,Soudal - Quick Step,3,,",,0:00",trofeo-palma/2023
1314,26,90,,PONOMAR AndriiTeam Arkéa Samsic,20,Team Arkéa Samsic,,,",,0:00",trofeo-palma/2023
1315,27,190,,COLMAN AlexTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,0:00",trofeo-palma/2023
1316,28,207,,ESTELRICH MateuElectro Hiper Europa,21,Electro Hiper Europa,,,",,0:00",trofeo-palma/2023
1317,29,208,,BENNASSAR JoanElectro Hiper Europa,23,Electro Hiper Europa,,,",,0:00",trofeo-palma/2023
1318,30,220,,CRAINE EthanProject Echelon Racing,21,Project Echelon Racing,,,",,0:00",trofeo-palma/2023
1319,31,182,,RETEGI MikelEquipo Kern Pharma,21,Equipo Kern Pharma,,,",,0:00",trofeo-palma/2023
1320,32,192,,GERITS VinceTeam Flanders - Baloise,25,Team Flanders - Baloise,,,",,0:00",trofeo-palma/2023
1321,33,118,,BARRENETXEA JonCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,",,0:00",trofeo-palma/2023
1322,34,112,,WEINBERG RoiIsrael - Premier Tech,22,Israel - Premier Tech,,,",,0:00",trofeo-palma/2023
1323,35,217,,MOLENAAR AlexElectro Hiper Europa,23,Electro Hiper Europa,,,",,0:00",trofeo-palma/2023
1324,36,160,,EL GOUZI OmarGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,",,0:00",trofeo-palma/2023
1325,37,224,,MORRIS SamProject Echelon Racing,27,Project Echelon Racing,,,",,0:00",trofeo-palma/2023
1326,38,180,,ELOSEGUI IñigoEquipo Kern Pharma,24,Equipo Kern Pharma,,,",,0:00",trofeo-palma/2023
1327,39,101,,SELIG RüdigerLotto Dstny,33,Lotto Dstny,,,",,0:00",trofeo-palma/2023
1328,40,115,,AMEZQUETA JulenCaja Rural - Seguros RGA,29,Caja Rural - Seguros RGA,,,",,0:00",trofeo-palma/2023
1329,41,96,,GUARNIERI JacopoLotto Dstny,35,Lotto Dstny,,,",,0:00",trofeo-palma/2023
1330,42,65,,EIKING Odd ChristianEF Education-EasyPost,28,EF Education-EasyPost,,,",,0:00",trofeo-palma/2023
1331,43,236,,MERENCIANO AlejandroSpain,18,Spain,,,",,0:00",trofeo-palma/2023
1332,44,139,,PELEGRÍ ÓscarBurgos-BH,28,Burgos-BH,,,",,0:00",trofeo-palma/2023
1333,45,211,,GARCIA Jose MariaElectro Hiper Europa,24,Electro Hiper Europa,,,",,0:00",trofeo-palma/2023
1334,46,111,,PICKRELL RileyIsrael - Premier Tech,21,Israel - Premier Tech,,,",,0:00",trofeo-palma/2023
1335,47,124,,PIRA Yesid AlbeiroCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,",,0:00",trofeo-palma/2023
1336,48,202,,JOYCE ColinHuman Powered Health,28,Human Powered Health,,,",,0:00",trofeo-palma/2023
1337,49,116,,AULAR OrluisCaja Rural - Seguros RGA,26,Caja Rural - Seguros RGA,,,",,0:00",trofeo-palma/2023
1338,50,194,,VANHOOF WardTeam Flanders - Baloise,23,Team Flanders - Baloise,,,",,0:00",trofeo-palma/2023
1339,51,140,,PEÑALVER ManuelBurgos-BH,24,Burgos-BH,,,",,0:00",trofeo-palma/2023
1340,52,27,,SERRANO GonzaloMovistar Team,28,Movistar Team,,,",,0:00",trofeo-palma/2023
1341,53,38,,KÄMNA LennardBORA - hansgrohe,26,BORA - hansgrohe,,,",,0:00",trofeo-palma/2023
1342,54,145,,FUENTES ÁngelBurgos-BH,26,Burgos-BH,,,",,0:00",trofeo-palma/2023
1343,55,172,,CUADRADO UnaiEuskaltel - Euskadi,25,Euskaltel - Euskadi,,,",,0:00",trofeo-palma/2023
1344,56,223,,HARDIN WilliamProject Echelon Racing,24,Project Echelon Racing,,,",,0:00",trofeo-palma/2023
1345,57,170,,ISASA XabierEuskaltel - Euskadi,21,Euskaltel - Euskadi,,,",,0:00",trofeo-palma/2023
1346,58,106,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,0:160:16,trofeo-palma/2023
1347,59,214,,ROPERO AlejandroElectro Hiper Europa,24,Electro Hiper Europa,,,",,0:16",trofeo-palma/2023
1348,60,64,,PICCOLO AndreaEF Education-EasyPost,21,EF Education-EasyPost,,,",,0:16",trofeo-palma/2023
1349,61,165,,BALLARIN IkerEuskaltel - Euskadi,25,Euskaltel - Euskadi,,,",,0:16",trofeo-palma/2023
1350,62,133,,GAROSIO AndreaEOLO-Kometa,29,EOLO-Kometa,,,",,0:16",trofeo-palma/2023
1351,63,227,,MORA SebastiánSpain,34,Spain,,,",,0:16",trofeo-palma/2023
1352,64,131,,BAIS MattiaEOLO-Kometa,26,EOLO-Kometa,,,",,0:16",trofeo-palma/2023
1353,65,35,,OLIVEIRA RuiUAE Team Emirates,26,UAE Team Emirates,,,",,0:16",trofeo-palma/2023
1354,66,79,,TEUNISSEN MikeIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,",,0:16",trofeo-palma/2023
1355,67,196,,BANASZEK AlanHuman Powered Health,25,Human Powered Health,,,",,0:16",trofeo-palma/2023
1356,68,76,,MARIT ArneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,",,0:16",trofeo-palma/2023
1357,69,10,,SÉNÉCHAL FlorianSoudal - Quick Step,29,Soudal - Quick Step,,,",,0:16",trofeo-palma/2023
1358,70,126,,GAVAZZI FrancescoEOLO-Kometa,38,EOLO-Kometa,,,0:220:22,trofeo-palma/2023
1359,71,61,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,0:250:25,trofeo-palma/2023
1360,72,97,,LIVYNS ArjenLotto Dstny,28,Lotto Dstny,,,",,0:25",trofeo-palma/2023
1361,73,54,,WALLAYS JelleCofidis,33,Cofidis,,,0:270:27,trofeo-palma/2023
1362,74,80,,VLIEGEN LoïcIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,",,0:27",trofeo-palma/2023
1363,75,63,,SHAW JamesEF Education-EasyPost,26,EF Education-EasyPost,,,",,0:27",trofeo-palma/2023
1364,76,203,,PEÁK BarnabásHuman Powered Health,24,Human Powered Health,,,",,0:27",trofeo-palma/2023
1365,77,11,,VAN LERBERGHE BertSoudal - Quick Step,30,Soudal - Quick Step,,,",,0:27",trofeo-palma/2023
1366,78,100,,SCHWARZMANN MichaelLotto Dstny,32,Lotto Dstny,,,",,0:27",trofeo-palma/2023
1367,79,47,,WANDAHL FrederikBORA - hansgrohe,21,BORA - hansgrohe,,,",,0:27",trofeo-palma/2023
1368,80,176,,ARRIETA IgorEquipo Kern Pharma,20,Equipo Kern Pharma,,,",,0:27",trofeo-palma/2023
1369,81,62,,VAN DEN BERG JuliusEF Education-EasyPost,26,EF Education-EasyPost,,,",,0:27",trofeo-palma/2023
1370,82,83,,DEKKER DavidTeam Arkéa Samsic,24,Team Arkéa Samsic,,,",,0:27",trofeo-palma/2023
1371,83,99,,PAASSCHENS MathijsLotto Dstny,26,Lotto Dstny,,,",,0:27",trofeo-palma/2023
1372,84,98,,MENTEN MilanLotto Dstny,26,Lotto Dstny,,,0:360:36,trofeo-palma/2023
1373,85,197,,BASSETT StephenHuman Powered Health,27,Human Powered Health,,,",,0:36",trofeo-palma/2023
1374,86,41,,POLITT NilsBORA - hansgrohe,28,BORA - hansgrohe,,,",,0:36",trofeo-palma/2023
1375,87,142,,OKAMIKA AnderBurgos-BH,29,Burgos-BH,,,0:450:45,trofeo-palma/2023
1376,88,222,,ARNOPOL RichardProject Echelon Racing,30,Project Echelon Racing,,,",,0:45",trofeo-palma/2023
1377,89,30,,TRENTIN MatteoUAE Team Emirates,33,UAE Team Emirates,,,",,0:45",trofeo-palma/2023
1378,90,84,,DELAPLACE AnthonyTeam Arkéa Samsic,33,Team Arkéa Samsic,,,0:470:47,trofeo-palma/2023
1379,91,9,,PEDERSEN CasperSoudal - Quick Step,26,Soudal - Quick Step,,,0:490:49,trofeo-palma/2023
1380,92,86,,MCLAY DanielTeam Arkéa Samsic,31,Team Arkéa Samsic,,,0:570:57,trofeo-palma/2023
1381,93,193,,VAN HEMELEN VincentTeam Flanders - Baloise,22,Team Flanders - Baloise,,,",,0:57",trofeo-palma/2023
1382,94,121,,HAILEMICHAEL Mulu KinfeCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,",,0:57",trofeo-palma/2023
1383,95,146,,LANGELLOTTI VictorBurgos-BH,27,Burgos-BH,,,",,0:57",trofeo-palma/2023
1384,96,155,,NIERI AlessioGreen Project-Bardiani CSF-Faizanè,21,Green Project-Bardiani CSF-Faizanè,,,0:590:59,trofeo-palma/2023
1385,97,36,,ALMEIDA JoãoUAE Team Emirates,24,UAE Team Emirates,,,1:081:08,trofeo-palma/2023
1386,98,178,,GARCÍA PIERNA CarlosEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,1:08",trofeo-palma/2023
1387,99,42,,UIJTDEBROEKS CianBORA - hansgrohe,19,BORA - hansgrohe,,,",,1:08",trofeo-palma/2023
1388,100,132,,SERRANO JavierEOLO-Kometa,21,EOLO-Kometa,,,",,1:08",trofeo-palma/2023
1389,101,228,,MARTORELL ErikSpain,24,Spain,,,",,1:08",trofeo-palma/2023
1390,102,45,,SCHELLING IdeBORA - hansgrohe,24,BORA - hansgrohe,,,",,1:08",trofeo-palma/2023
1391,103,39,,KONRAD PatrickBORA - hansgrohe,31,BORA - hansgrohe,,,",,1:08",trofeo-palma/2023
1392,104,235,,ANGUELA MarioSpain,18,Spain,,,",,1:08",trofeo-palma/2023
1393,105,169,,BERASATEGI XabierEuskaltel - Euskadi,22,Euskaltel - Euskadi,,,",,1:08",trofeo-palma/2023
1394,106,183,,RUIZ IbonEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,1:08",trofeo-palma/2023
1395,107,18,,ARCAS JorgeMovistar Team,30,Movistar Team,,,",,1:08",trofeo-palma/2023
1396,108,67,,CARTHY HughEF Education-EasyPost,28,EF Education-EasyPost,,,",,1:08",trofeo-palma/2023
1397,109,25,,PEDRERO AntonioMovistar Team,31,Movistar Team,,,1:151:15,trofeo-palma/2023
1398,110,88,,EDET NicolasTeam Arkéa Samsic,35,Team Arkéa Samsic,,,1:201:20,trofeo-palma/2023
1399,111,157,,TOLIO AlexGreen Project-Bardiani CSF-Faizanè,22,Green Project-Bardiani CSF-Faizanè,,,1:221:22,trofeo-palma/2023
1400,112,78,,PLANCKAERT BaptisteIntermarché - Circus - Wanty,34,Intermarché - Circus - Wanty,,,",,1:22",trofeo-palma/2023
1401,113,74,,HERREGODTS RuneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,",,1:22",trofeo-palma/2023
1402,114,128,,RIVI SamueleEOLO-Kometa,24,EOLO-Kometa,,,",,1:22",trofeo-palma/2023
1403,115,156,,SCOTT JaredGreen Project-Bardiani CSF-Faizanè,20,Green Project-Bardiani CSF-Faizanè,,,",,1:22",trofeo-palma/2023
1404,116,49,,HERRADA JesúsCofidis,32,Cofidis,,,",,1:22",trofeo-palma/2023
1405,117,51,,HERRADA JoséCofidis,37,Cofidis,,,",,1:22",trofeo-palma/2023
1406,118,123,,MURGUIALDAY JokinCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,",,1:22",trofeo-palma/2023
1407,119,187,,BONNEU KamielTeam Flanders - Baloise,23,Team Flanders - Baloise,,,",,1:22",trofeo-palma/2023
1408,120,191,,DE PESTEL SanderTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,1:22",trofeo-palma/2023
1409,121,7,,DECLERCQ TimSoudal - Quick Step,33,Soudal - Quick Step,,,",,1:22",trofeo-palma/2023
1410,122,28,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,,,",,1:22",trofeo-palma/2023
1411,123,152,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,",,1:22",trofeo-palma/2023
1412,124,108,,SAGIV GuyIsrael - Premier Tech,28,Israel - Premier Tech,,,1:301:30,trofeo-palma/2023
1413,125,201,,JENSEN AugustHuman Powered Health,31,Human Powered Health,,,",,1:30",trofeo-palma/2023
1414,126,221,,VOGEL StephenProject Echelon Racing,33,Project Echelon Racing,,,1:401:40,trofeo-palma/2023
1415,127,2,,ASGREEN KasperSoudal - Quick Step,27,Soudal - Quick Step,,,2:102:10,trofeo-palma/2023
1416,128,234,,PEREZ AlbertoSpain,23,Spain,,,2:362:36,trofeo-palma/2023
1417,129,229,,BENNASSAR FrancescSpain,20,Spain,,,",,2:36",trofeo-palma/2023
1418,130,186,,APERS RubenTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,2:36",trofeo-palma/2023
1419,131,204,,PERRY BenjaminHuman Powered Health,28,Human Powered Health,,,3:433:43,trofeo-palma/2023
1420,132,34,,NOVAK DomenUAE Team Emirates,27,UAE Team Emirates,,,6:186:18,trofeo-palma/2023
1421,133,144,,FRANCO AlejandroBurgos-BH,21,Burgos-BH,,,",,6:18",trofeo-palma/2023
1422,134,52,,LASTRA JonathanCofidis,29,Cofidis,,,",,6:18",trofeo-palma/2023
1423,135,230,,TERRASA MarcSpain,19,Spain,,,6:336:33,trofeo-palma/2023
1424,136,213,,MARTÍN José MaríaElectro Hiper Europa,21,Electro Hiper Europa,,,6:456:45,trofeo-palma/2023
1425,137,209,,CAÑELLAS XavierElectro Hiper Europa,25,Electro Hiper Europa,,,",,6:45",trofeo-palma/2023
1426,DNF,110,,MACKELLAR AlastairIsrael - Premier Tech,21,Israel - Premier Tech,,,-,trofeo-palma/2023
1427,DNF,75,,HUYS LaurensIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,-,trofeo-palma/2023
1428,DNF,219,,STITES TylerProject Echelon Racing,24,Project Echelon Racing,,,-,trofeo-palma/2023
1429,DNF,179,,COBO IvánEquipo Kern Pharma,23,Equipo Kern Pharma,,,-,trofeo-palma/2023
1430,DNF,87,,BOUHANNI NacerTeam Arkéa Samsic,32,Team Arkéa Samsic,,,-,trofeo-palma/2023
1431,DNF,218,,SCALA JR HugoProject Echelon Racing,25,Project Echelon Racing,,,-,trofeo-palma/2023
1432,,,,,,,,,,vuelta-ciclista-a-la-region-de-murcia/2023
1433,1,77,,TURNER BenINEOS Grenadiers,23,INEOS Grenadiers,125,75,4:24:59,vuelta-ciclista-a-la-region-de-murcia/2023
1434,2,141,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,85,55,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1435,3,45,,MEEUS JordiBORA - hansgrohe,24,BORA - hansgrohe,70,40,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1436,4,56,,MADOUAS ValentinGroupama - FDJ,26,Groupama - FDJ,60,32,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1437,5,6,,TRENTIN MatteoUAE Team Emirates,33,UAE Team Emirates,50,28,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1438,6,7,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,40,24,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1439,7,162,,EENKHOORN PascalLotto Dstny,26,Lotto Dstny,35,20,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1440,8,66,,VLIEGEN LoïcIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,30,18,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1441,9,164,,MENTEN MilanLotto Dstny,26,Lotto Dstny,25,16,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1442,10,33,,IZAGIRRE GorkaMovistar Team,35,Movistar Team,20,14,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1443,11,146,,WÜRTZ SCHMIDT MadsIsrael - Premier Tech,28,Israel - Premier Tech,15,12,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1444,12,23,,COQUARD BryanCofidis,30,Cofidis,10,10,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1445,13,206,,MOLENAAR AlexElectro Hiper Europa,23,Electro Hiper Europa,5,8,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1446,14,57,,PENHOËT PaulGroupama - FDJ,21,Groupama - FDJ,5,7,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1447,15,84,,CHAMPOUSSIN ClémentTeam Arkéa Samsic,24,Team Arkéa Samsic,5,6,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1448,16,124,,CANAL CarlosEuskaltel - Euskadi,21,Euskaltel - Euskadi,3,5,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1449,17,173,,ERIKSSON LucasTudor Pro Cycling Team,26,Tudor Pro Cycling Team,3,4,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1450,18,4,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,3,3,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1451,19,145,,NEILANDS KristsIsrael - Premier Tech,28,Israel - Premier Tech,3,2,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1452,20,21,,FERNÁNDEZ RubénCofidis,31,Cofidis,3,1,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1453,21,34,,LAZKANO OierMovistar Team,23,Movistar Team,3,,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1454,22,16,,PRONSKIY VadimAstana Qazaqstan Team,24,Astana Qazaqstan Team,3,,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1455,23,166,,VAN EETVELT LennertLotto Dstny,21,Lotto Dstny,3,,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1456,24,94,,MIQUEL PauEquipo Kern Pharma,22,Equipo Kern Pharma,3,,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1457,25,197,,FEDELI AlessandroQ36.5 Pro Cycling Team,26,Q36.5 Pro Cycling Team,3,,",,0:00",vuelta-ciclista-a-la-region-de-murcia/2023
1458,26,167,,VERMEERSCH FlorianLotto Dstny,23,Lotto Dstny,,,0:100:10,vuelta-ciclista-a-la-region-de-murcia/2023
1459,27,182,,BOASSON HAGEN EdvaldTotalEnergies,35,TotalEnergies,,,",,0:10",vuelta-ciclista-a-la-region-de-murcia/2023
1460,28,127,,MARTÍN GotzonEuskaltel - Euskadi,26,Euskaltel - Euskadi,,,",,0:10",vuelta-ciclista-a-la-region-de-murcia/2023
1461,29,103,,BARTHE CyrilBurgos-BH,26,Burgos-BH,,,",,0:10",vuelta-ciclista-a-la-region-de-murcia/2023
1462,30,133,,FETTER ErikEOLO-Kometa,22,EOLO-Kometa,,,0:140:14,vuelta-ciclista-a-la-region-de-murcia/2023
1463,31,121,,SOTO Antonio JesúsEuskaltel - Euskadi,28,Euskaltel - Euskadi,,,",,0:14",vuelta-ciclista-a-la-region-de-murcia/2023
1464,32,64,,ROTA LorenzoIntermarché - Circus - Wanty,27,Intermarché - Circus - Wanty,,,0:150:15,vuelta-ciclista-a-la-region-de-murcia/2023
1465,33,147,,SCHULTZ NickIsrael - Premier Tech,28,Israel - Premier Tech,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1466,34,177,,VOISARD YannisTudor Pro Cycling Team,24,Tudor Pro Cycling Team,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1467,35,175,,REICHENBACH SébastienTudor Pro Cycling Team,33,Tudor Pro Cycling Team,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1468,36,104,,EZQUERRA JesúsBurgos-BH,32,Burgos-BH,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1469,37,193,,CALZONI WalterQ36.5 Pro Cycling Team,21,Q36.5 Pro Cycling Team,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1470,38,131,,BAIS DavideEOLO-Kometa,24,EOLO-Kometa,,,",,0:15",vuelta-ciclista-a-la-region-de-murcia/2023
1471,39,113,,BARCELÓ FernandoCaja Rural - Seguros RGA,27,Caja Rural - Seguros RGA,,,0:180:18,vuelta-ciclista-a-la-region-de-murcia/2023
1472,40,65,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,",,0:18",vuelta-ciclista-a-la-region-de-murcia/2023
1473,41,171,,BRUN NilsTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,",,0:18",vuelta-ciclista-a-la-region-de-murcia/2023
1474,42,47,,WANDAHL FrederikBORA - hansgrohe,21,BORA - hansgrohe,,,",,0:18",vuelta-ciclista-a-la-region-de-murcia/2023
1475,43,86,,LOUVEL MatisTeam Arkéa Samsic,23,Team Arkéa Samsic,,,",,0:18",vuelta-ciclista-a-la-region-de-murcia/2023
1476,44,134,,MARTÍN AlexEOLO-Kometa,23,EOLO-Kometa,,,0:270:27,vuelta-ciclista-a-la-region-de-murcia/2023
1477,45,137,,TERCERO FernandoEOLO-Kometa,21,EOLO-Kometa,,,",,0:27",vuelta-ciclista-a-la-region-de-murcia/2023
1478,46,1,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,,,",,0:27",vuelta-ciclista-a-la-region-de-murcia/2023
1479,47,63,,HUYS LaurensIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,",,0:27",vuelta-ciclista-a-la-region-de-murcia/2023
1480,48,111,,AMEZQUETA JulenCaja Rural - Seguros RGA,29,Caja Rural - Seguros RGA,,,0:320:32,vuelta-ciclista-a-la-region-de-murcia/2023
1481,49,32,,ARCAS JorgeMovistar Team,30,Movistar Team,,,",,0:32",vuelta-ciclista-a-la-region-de-murcia/2023
1482,50,42,,KOCH JonasBORA - hansgrohe,29,BORA - hansgrohe,,,0:430:43,vuelta-ciclista-a-la-region-de-murcia/2023
1483,51,46,,POLITT NilsBORA - hansgrohe,28,BORA - hansgrohe,,,0:460:46,vuelta-ciclista-a-la-region-de-murcia/2023
1484,52,163,,KRON AndreasLotto Dstny,24,Lotto Dstny,,,0:500:50,vuelta-ciclista-a-la-region-de-murcia/2023
1485,53,71,,SIVAKOV PavelINEOS Grenadiers,25,INEOS Grenadiers,,,0:510:51,vuelta-ciclista-a-la-region-de-murcia/2023
1486,54,151,,CLYNHENS ToonTeam Flanders - Baloise,22,Team Flanders - Baloise,,,0:520:52,vuelta-ciclista-a-la-region-de-murcia/2023
1487,55,183,,DE LA PARTE VíctorTotalEnergies,36,TotalEnergies,,,0:570:57,vuelta-ciclista-a-la-region-de-murcia/2023
1488,56,67,,ZIMMERMANN GeorgIntermarché - Circus - Wanty,25,Intermarché - Circus - Wanty,,,1:011:01,vuelta-ciclista-a-la-region-de-murcia/2023
1489,57,51,,KONOVALOVAS IgnatasGroupama - FDJ,37,Groupama - FDJ,,,1:161:16,vuelta-ciclista-a-la-region-de-murcia/2023
1490,58,36,,ROMEO IvánMovistar Team,19,Movistar Team,,,1:321:32,vuelta-ciclista-a-la-region-de-murcia/2023
1491,59,37,,SAMITIER SergioMovistar Team,27,Movistar Team,,,2:012:01,vuelta-ciclista-a-la-region-de-murcia/2023
1492,60,72,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,,2:272:27,vuelta-ciclista-a-la-region-de-murcia/2023
1493,61,91,,GARCÍA PIERNA RaúlEquipo Kern Pharma,21,Equipo Kern Pharma,,,2:522:52,vuelta-ciclista-a-la-region-de-murcia/2023
1494,62,165,,SWEENY HarryLotto Dstny,24,Lotto Dstny,,,3:033:03,vuelta-ciclista-a-la-region-de-murcia/2023
1495,63,11,,SÁNCHEZ Luis LeónAstana Qazaqstan Team,39,Astana Qazaqstan Team,,,",,3:03",vuelta-ciclista-a-la-region-de-murcia/2023
1496,64,202,,FAURA Jose LuisElectro Hiper Europa,22,Electro Hiper Europa,,,3:403:40,vuelta-ciclista-a-la-region-de-murcia/2023
