,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
547,3,10,+1:12,191,,YATES AdamUAE Team Emirates,30,UAE Team Emirates,20,18,4″,0:150:154″,uae-tour/2023/stage-3,,,,,
548,4,14,+1:17,34,,LUTSENKO AlexeyAstana Qazaqstan Team,30,Astana Qazaqstan Team,15,13,,",,0:15",uae-tour/2023/stage-3,,,,,
549,5,2,+0:07,93,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,10,10,,",,0:15",uae-tour/2023/stage-3,,,,,
550,6,6,+1:10,156,,VANHOUCKE HarmTeam DSM,25,Team DSM,8,7,,",,0:15",uae-tour/2023/stage-3,,,,,
551,7,17,+1:21,122,,GLOAG ThomasJumbo-Visma,21,Jumbo-Visma,6,4,,",,0:15",uae-tour/2023/stage-3,,,,,
552,8,7,+1:10,151,,LEKNESSUND AndreasTeam DSM,23,Team DSM,3,3,,",,0:15",uae-tour/2023/stage-3,,,,,
553,9,18,+1:21,121,,KUSS SeppJumbo-Visma,28,Jumbo-Visma,2,2,,",,0:15",uae-tour/2023/stage-3,,,,,
554,10,11,+1:15,57,,ZWIEHOFF BenBORA - hansgrohe,29,BORA - hansgrohe,1,1,,",,0:15",uae-tour/2023/stage-3,,,,,
555,11,3,+0:11,41,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:15",uae-tour/2023/stage-3,,,,,
556,12,4,+1:01,64,,DE BOD StefanEF Education-EasyPost,26,EF Education-EasyPost,,,,",,0:15",uae-tour/2023/stage-3,,,,,
557,13,12,+1:15,53,,BUCHMANN EmanuelBORA - hansgrohe,30,BORA - hansgrohe,,,,",,0:15",uae-tour/2023/stage-3,,,,,
558,14,16,+1:19,171,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:15",uae-tour/2023/stage-3,,,,,
559,15,58,+10:35,62,,CAMARGO Diego AndrésEF Education-EasyPost,24,EF Education-EasyPost,,,,",,0:15",uae-tour/2023/stage-3,,,,,
560,16,25,+1:33,11,,BOUCHARD GeoffreyAG2R Citroën Team,30,AG2R Citroën Team,,,,",,0:15",uae-tour/2023/stage-3,,,,,
561,17,20,+1:25,105,,TAARAMÄE ReinIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,0:15",uae-tour/2023/stage-3,,,,,
562,18,19,+1:25,101,,MEINTJES LouisIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,,,,",,0:15",uae-tour/2023/stage-3,,,,,
563,19,30,+1:50,186,,VOISARD YannisTudor Pro Cycling Team,24,Tudor Pro Cycling Team,,,,",,0:15",uae-tour/2023/stage-3,,,,,
564,20,26,+1:36,145,,RODRÍGUEZ ÓscarMovistar Team,27,Movistar Team,,,,",,0:15",uae-tour/2023/stage-3,,,,,
565,21,29,+1:48,24,,OSBORNE JasonAlpecin-Deceuninck,28,Alpecin-Deceuninck,,,,",,0:15",uae-tour/2023/stage-3,,,,,
566,22,59,+10:38,63,,CARR SimonEF Education-EasyPost,24,EF Education-EasyPost,,,,",,0:15",uae-tour/2023/stage-3,,,,,
567,23,21,+1:26,85,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:15",uae-tour/2023/stage-3,,,,,
568,24,24,+1:33,13,,BERTHET ClémentAG2R Citroën Team,25,AG2R Citroën Team,,,,",,0:15",uae-tour/2023/stage-3,,,,,
569,25,13,+1:16,194,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,,,,",,0:15",uae-tour/2023/stage-3,,,,,
570,26,22,+1:32,116,,RICCITELLO MatthewIsrael - Premier Tech,20,Israel - Premier Tech,,,,",,0:15",uae-tour/2023/stage-3,,,,,
571,27,5,+1:04,45,,POELS WoutBahrain - Victorious,35,Bahrain - Victorious,,,,",,0:15",uae-tour/2023/stage-3,,,,,
572,28,28,+1:43,16,,PARET-PEINTRE ValentinAG2R Citroën Team,22,AG2R Citroën Team,,,,0:250:25,uae-tour/2023/stage-3,,,,,
573,29,9,+1:11,65,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,,",,0:25",uae-tour/2023/stage-3,,,,,
574,30,23,+1:32,174,,GHEBREIGZABHIER AmanuelTrek - Segafredo,28,Trek - Segafredo,,,,0:280:28,uae-tour/2023/stage-3,,,,,
575,31,15,+1:18,167,,SCOTSON CallumTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,0:28",uae-tour/2023/stage-3,,,,,
576,32,49,+5:33,196,,SOLER MarcUAE Team Emirates,29,UAE Team Emirates,,,,0:370:37,uae-tour/2023/stage-3,,,,,
577,33,27,+1:39,37,,TEJADA HaroldAstana Qazaqstan Team,25,Astana Qazaqstan Team,,,,",,0:37",uae-tour/2023/stage-3,,,,,
578,34,32,+2:14,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,0:560:56,uae-tour/2023/stage-3,,,,,
579,35,34,+2:28,114,,HERMANS BenIsrael - Premier Tech,36,Israel - Premier Tech,,,,1:111:11,uae-tour/2023/stage-3,,,,,
580,36,41,+3:41,77,,ZOCCARATO SamueleGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,1:121:12,uae-tour/2023/stage-3,,,,,
581,37,33,+2:16,175,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,1:12",uae-tour/2023/stage-3,,,,,
582,38,35,+2:30,17,,WARBASSE LarryAG2R Citroën Team,32,AG2R Citroën Team,,,,",,1:12",uae-tour/2023/stage-3,,,,,
583,39,31,+2:00,4,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,,,,1:151:15,uae-tour/2023/stage-3,,,,,
584,40,36,+2:42,137,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,,1:191:19,uae-tour/2023/stage-3,,,,,
585,41,44,+4:26,192,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,,,,1:371:37,uae-tour/2023/stage-3,,,,,
586,42,42,+3:57,86,,THOMPSON ReubenGroupama - FDJ,22,Groupama - FDJ,,,,",,1:37",uae-tour/2023/stage-3,,,,,
587,43,66,+12:13,36,,ROMO JavierAstana Qazaqstan Team,24,Astana Qazaqstan Team,,,,",,1:37",uae-tour/2023/stage-3,,,,,
588,44,38,+2:54,111,,FUGLSANG JakobIsrael - Premier Tech,37,Israel - Premier Tech,,,,",,1:37",uae-tour/2023/stage-3,,,,,
589,45,43,+4:04,72,,COVILI LucaGreen Project-Bardiani CSF-Faizanè,26,Green Project-Bardiani CSF-Faizanè,,,,1:421:42,uae-tour/2023/stage-3,,,,,
590,46,37,+2:46,61,,AMADOR AndreyEF Education-EasyPost,36,EF Education-EasyPost,,,,2:002:00,uae-tour/2023/stage-3,,,,,
591,47,40,+3:34,117,,WÜRTZ SCHMIDT MadsIsrael - Premier Tech,28,Israel - Premier Tech,,,,2:172:17,uae-tour/2023/stage-3,,,,,
592,48,48,+4:43,75,,TONELLI AlessandroGreen Project-Bardiani CSF-Faizanè,30,Green Project-Bardiani CSF-Faizanè,,,,2:212:21,uae-tour/2023/stage-3,,,,,
593,49,45,+4:27,14,,HÄNNINEN JaakkoAG2R Citroën Team,25,AG2R Citroën Team,,,,",,2:21",uae-tour/2023/stage-3,,,,,
594,50,39,+3:31,104,,PETILLI SimoneIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,2:21",uae-tour/2023/stage-3,,,,,
595,51,47,+4:40,113,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,3:233:23,uae-tour/2023/stage-3,,,,,
596,52,46,+4:33,123,,HESSMANN MichelJumbo-Visma,21,Jumbo-Visma,,,,3:273:27,uae-tour/2023/stage-3,,,,,
597,53,73,+13:58,7,,VERVAEKE LouisSoudal - Quick Step,29,Soudal - Quick Step,,,,3:393:39,uae-tour/2023/stage-3,,,,,
598,54,51,+8:44,94,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,7:027:02,uae-tour/2023/stage-3,,,,,
599,55,50,+7:50,96,,TULETT BenINEOS Grenadiers,21,INEOS Grenadiers,,,,",,7:02",uae-tour/2023/stage-3,,,,,
600,56,52,+9:35,184,,KLUCKERS ArthurTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,8:008:00,uae-tour/2023/stage-3,,,,,
601,57,54,+9:51,155,,MÄRKL NiklasTeam DSM,23,Team DSM,,,,8:548:54,uae-tour/2023/stage-3,,,,,
602,58,53,+9:40,66,,VAN DEN BERG MarijnEF Education-EasyPost,23,EF Education-EasyPost,,,,",,8:54",uae-tour/2023/stage-3,,,,,
603,59,62,+11:11,132,,DE GENDT ThomasLotto Dstny,36,Lotto Dstny,,,,",,8:54",uae-tour/2023/stage-3,,,,,
604,60,56,+10:12,15,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,8:54",uae-tour/2023/stage-3,,,,,
605,61,55,+10:00,126,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,8:54",uae-tour/2023/stage-3,,,,,
606,62,57,+10:15,147,,TORRES AlbertMovistar Team,32,Movistar Team,,,,",,8:54",uae-tour/2023/stage-3,,,,,
607,63,65,+12:08,103,,PAQUOT TomIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,9:449:44,uae-tour/2023/stage-3,,,,,
608,64,61,+11:01,163,,MAAS JanTeam Jayco AlUla,27,Team Jayco AlUla,,,,",,9:44",uae-tour/2023/stage-3,,,,,
609,65,60,+10:54,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,9:44",uae-tour/2023/stage-3,,,,,
610,66,64,+11:14,124,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,",,9:44",uae-tour/2023/stage-3,,,,,
611,67,69,+13:13,5,,SERRY PieterSoudal - Quick Step,34,Soudal - Quick Step,,,,9:489:48,uae-tour/2023/stage-3,,,,,
612,68,111,+22:34,177,,TOLHOEK AntwanTrek - Segafredo,28,Trek - Segafredo,,,,",,9:48",uae-tour/2023/stage-3,,,,,
613,69,63,+11:14,95,,TARLING JoshuaINEOS Grenadiers,19,INEOS Grenadiers,,,,",,9:48",uae-tour/2023/stage-3,,,,,
614,70,68,+13:10,183,,HEMING MikaTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,11:3511:35,uae-tour/2023/stage-3,,,,,
615,71,112,+22:51,44,,MIHOLJEVIĆ FranBahrain - Victorious,20,Bahrain - Victorious,,,,12:2812:28,uae-tour/2023/stage-3,,,,,
616,72,67,+12:23,42,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,",,12:28",uae-tour/2023/stage-3,,,,,
617,73,72,+13:47,193,,LAENGEN Vegard StakeUAE Team Emirates,34,UAE Team Emirates,,,,",,12:28",uae-tour/2023/stage-3,,,,,
618,74,74,+16:14,185,,PLUIMERS RickTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,",,12:28",uae-tour/2023/stage-3,,,,,
619,75,70,+13:18,162,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,12:28",uae-tour/2023/stage-3,,,,,
620,76,114,+23:13,84,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,12:28",uae-tour/2023/stage-3,,,,,
621,77,71,+13:28,54,,GAMPER PatrickBORA - hansgrohe,26,BORA - hansgrohe,,,,",,12:28",uae-tour/2023/stage-3,,,,,
622,78,75,+17:18,173,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,14:0614:06,uae-tour/2023/stage-3,,,,,
623,79,84,+18:38,55,,MULLEN RyanBORA - hansgrohe,28,BORA - hansgrohe,,,,16:5716:57,uae-tour/2023/stage-3,,,,,
624,80,77,+17:52,153,,EDMONDSON AlexTeam DSM,29,Team DSM,,,,",,16:57",uae-tour/2023/stage-3,,,,,
625,81,79,+18:01,164,,MEZGEC LukaTeam Jayco AlUla,34,Team Jayco AlUla,,,,17:1117:11,uae-tour/2023/stage-3,,,,,
626,82,78,+17:56,2,,ČERNÝ JosefSoudal - Quick Step,29,Soudal - Quick Step,,,,",,17:11",uae-tour/2023/stage-3,,,,,
627,83,89,+19:03,23,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,17:3017:30,uae-tour/2023/stage-3,,,,,
628,84,82,+18:25,157,,WELSFORD SamTeam DSM,27,Team DSM,,,,",,17:30",uae-tour/2023/stage-3,,,,,
629,85,91,+19:05,82,,DAVY ClémentGroupama - FDJ,24,Groupama - FDJ,,,,",,17:30",uae-tour/2023/stage-3,,,,,
630,86,90,+19:03,21,,SINKELDAM RamonAlpecin-Deceuninck,34,Alpecin-Deceuninck,,,,",,17:30",uae-tour/2023/stage-3,,,,,
631,87,87,+18:51,142,,HOLLMANN JuriMovistar Team,23,Movistar Team,,,,",,17:30",uae-tour/2023/stage-3,,,,,
632,88,80,+18:18,92,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,",,17:30",uae-tour/2023/stage-3,,,,,
633,89,76,+17:43,32,,BOL CeesAstana Qazaqstan Team,27,Astana Qazaqstan Team,,,,",,17:30",uae-tour/2023/stage-3,,,,,
634,90,97,+19:43,22,,BALLERSTEDT MauriceAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,17:30",uae-tour/2023/stage-3,,,,,
635,91,81,+18:21,43,,GOVEKAR MatevžBahrain - Victorious,22,Bahrain - Victorious,,,,",,17:30",uae-tour/2023/stage-3,,,,,
636,92,100,+19:52,71,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,,,,",,17:30",uae-tour/2023/stage-3,,,,,
637,93,85,+18:38,127,,VAN DER SANDE ToshJumbo-Visma,32,Jumbo-Visma,,,,",,17:30",uae-tour/2023/stage-3,,,,,
638,94,94,+19:21,56,,VAN POPPEL DannyBORA - hansgrohe,29,BORA - hansgrohe,,,,18:2118:21,uae-tour/2023/stage-3,,,,,
639,95,96,+19:31,107,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,18:21",uae-tour/2023/stage-3,,,,,
640,96,86,+18:43,3,,MERLIER TimSoudal - Quick Step,30,Soudal - Quick Step,,,,",,18:21",uae-tour/2023/stage-3,,,,,
641,97,103,+20:10,27,,VAN DEN BOSSCHE FabioAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,18:21",uae-tour/2023/stage-3,,,,,
642,98,104,+20:14,51,,BENNETT SamBORA - hansgrohe,32,BORA - hansgrohe,,,,",,18:21",uae-tour/2023/stage-3,,,,,
643,99,116,+23:44,52,,ARCHBOLD ShaneBORA - hansgrohe,34,BORA - hansgrohe,,,,",,18:21",uae-tour/2023/stage-3,,,,,
644,100,93,+19:11,166,,REINDERS ElmarTeam Jayco AlUla,30,Team Jayco AlUla,,,,",,18:21",uae-tour/2023/stage-3,,,,,
645,101,95,+19:31,106,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,18:21",uae-tour/2023/stage-3,,,,,
646,102,92,+19:11,161,,GROENEWEGEN DylanTeam Jayco AlUla,29,Team Jayco AlUla,,,,",,18:21",uae-tour/2023/stage-3,,,,,
647,103,137,+31:31,97,,WURF CameronINEOS Grenadiers,39,INEOS Grenadiers,,,,",,18:21",uae-tour/2023/stage-3,,,,,
648,104,83,+18:28,31,,CAVENDISH MarkAstana Qazaqstan Team,37,Astana Qazaqstan Team,,,,",,18:21",uae-tour/2023/stage-3,,,,,
649,105,109,+21:34,35,,MARTINELLI DavideAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,18:21",uae-tour/2023/stage-3,,,,,
650,106,110,+21:42,67,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,",,18:21",uae-tour/2023/stage-3,,,,,
651,107,102,+20:07,165,,QUICK BlakeTeam Jayco AlUla,22,Team Jayco AlUla,,,,",,18:21",uae-tour/2023/stage-3,,,,,
652,108,99,+19:50,131,,EWAN CalebLotto Dstny,28,Lotto Dstny,,,,",,18:21",uae-tour/2023/stage-3,,,,,
653,109,136,+30:43,33,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,",,18:21",uae-tour/2023/stage-3,,,,,
654,110,101,+19:57,83,,KONOVALOVAS IgnatasGroupama - FDJ,37,Groupama - FDJ,,,,",,18:21",uae-tour/2023/stage-3,,,,,
655,111,105,+20:42,115,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,",,18:21",uae-tour/2023/stage-3,,,,,
656,112,88,+19:03,133,,DRIZNERS JarradLotto Dstny,23,Lotto Dstny,,,,",,18:21",uae-tour/2023/stage-3,,,,,
657,113,98,+19:49,134,,GUARNIERI JacopoLotto Dstny,35,Lotto Dstny,,,,18:2618:26,uae-tour/2023/stage-3,,,,,
658,114,113,+22:55,141,,GAVIRIA FernandoMovistar Team,28,Movistar Team,,,,19:4119:41,uae-tour/2023/stage-3,,,,,
659,115,115,+23:34,143,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,19:41",uae-tour/2023/stage-3,,,,,
660,116,107,+21:00,144,,LAZKANO OierMovistar Team,23,Movistar Team,,,2″,",,19:412″",uae-tour/2023/stage-3,,,,,
661,117,106,+20:45,172,,ABERASTURI JonTrek - Segafredo,33,Trek - Segafredo,,,,",,19:41",uae-tour/2023/stage-3,,,,,
662,118,108,+21:17,176,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,,,20:1320:13,uae-tour/2023/stage-3,,,,,
663,119,129,+26:26,73,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,2″,24:0624:062″,uae-tour/2023/stage-3,,,,,
664,120,128,+26:26,74,,MAGLI FilippoGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,2″,",,24:062″",uae-tour/2023/stage-3,,,,,
665,121,118,+24:27,6,,VAN LERBERGHE BertSoudal - Quick Step,30,Soudal - Quick Step,,,,",,24:06",uae-tour/2023/stage-3,,,,,
666,122,131,+26:58,25,,PLANCKAERT EdwardAlpecin-Deceuninck,28,Alpecin-Deceuninck,,,6″,",,24:066″",uae-tour/2023/stage-3,,,,,
667,123,126,+25:41,187,,ZIJLAARD MaikelTudor Pro Cycling Team,23,Tudor Pro Cycling Team,,,,",,24:06",uae-tour/2023/stage-3,,,,,
668,124,122,+25:19,47,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,,,,",,24:06",uae-tour/2023/stage-3,,,,,
669,125,120,+25:13,46,,PRICE-PEJTERSEN JohanBahrain - Victorious,23,Bahrain - Victorious,,,,",,24:06",uae-tour/2023/stage-3,,,,,
670,126,138,+32:10,154,,RODENBERG FrederikTeam DSM,25,Team DSM,,,,",,24:06",uae-tour/2023/stage-3,,,,,
671,127,132,+27:28,181,,DE KLEIJN ArvidTudor Pro Cycling Team,28,Tudor Pro Cycling Team,,,,",,24:06",uae-tour/2023/stage-3,,,,,
672,128,133,+27:31,87,,WELTEN BramGroupama - FDJ,25,Groupama - FDJ,,,,",,24:06",uae-tour/2023/stage-3,,,,,
673,129,121,+25:17,81,,DÉMARE ArnaudGroupama - FDJ,31,Groupama - FDJ,,,,",,24:06",uae-tour/2023/stage-3,,,,,
674,130,124,+25:29,136,,SELIG RüdigerLotto Dstny,34,Lotto Dstny,,,,",,24:06",uae-tour/2023/stage-3,,,,,
675,131,125,+25:29,135,,SCHWARZMANN MichaelLotto Dstny,32,Lotto Dstny,,,,",,24:06",uae-tour/2023/stage-3,,,,,
676,132,117,+24:21,125,,KOOIJ OlavJumbo-Visma,21,Jumbo-Visma,,,,",,24:06",uae-tour/2023/stage-3,,,,,
677,133,134,+28:58,195,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,,,,",,24:06",uae-tour/2023/stage-3,,,,,
678,134,130,+26:28,76,,ZANONCELLO EnricoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,",,24:06",uae-tour/2023/stage-3,,,,,
679,135,119,+24:54,91,,VIVIANI EliaINEOS Grenadiers,34,INEOS Grenadiers,,,,",,24:06",uae-tour/2023/stage-3,,,,,
680,136,123,+25:25,112,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,24:06",uae-tour/2023/stage-3,,,,,
681,137,135,+30:27,182,,KOLZE CHANGIZI SebastianTudor Pro Cycling Team,22,Tudor Pro Cycling Team,,,,",,24:06",uae-tour/2023/stage-3,,,,,
682,138,127,+26:16,26,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,24:4324:43,uae-tour/2023/stage-3,,,,,
683,DNS,,,152,,ANDRESEN Tobias LundTeam DSM,20,Team DSM,,,,-,uae-tour/2023/stage-3,,,,,
684,DNS,,,197,,VINE JayUAE Team Emirates,27,UAE Team Emirates,,,,-,uae-tour/2023/stage-3,,,,,
685,1,12,+1:01,51,,COQUARD BryanCofidis,30,Cofidis,60,50,10″,2:53:4110″,tour-down-under/2023/stage-4,,,,,
686,2,48,+5:53,161,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,40,30,6″,",,0:006″",tour-down-under/2023/stage-4,,,,,
687,3,8,+0:56,103,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,30,18,7″,",,0:007″",tour-down-under/2023/stage-4,,,,,
688,4,23,+1:32,86,,PENHOËT PaulGroupama - FDJ,21,Groupama - FDJ,25,13,,",,0:00",tour-down-under/2023/stage-4,,,,,
689,5,30,+3:30,184,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,20,10,,",,0:00",tour-down-under/2023/stage-4,,,,,
690,6,28,+2:37,1,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,15,7,1″,",,0:001″",tour-down-under/2023/stage-4,,,,,
691,7,27,+1:52,13,,GODON DorianAG2R Citroën Team,26,AG2R Citroën Team,10,4,,",,0:00",tour-down-under/2023/stage-4,,,,,
692,8,18,+1:06,136,,MAYRHOFER MariusTeam DSM,22,Team DSM,8,3,,",,0:00",tour-down-under/2023/stage-4,,,,,
693,9,89,+14:45,94,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,5,2,,",,0:00",tour-down-under/2023/stage-4,,,,,
694,10,61,+8:21,191,,EWAN CalebUniSA-Australia,28,UniSA-Australia,2,1,,",,0:00",tour-down-under/2023/stage-4,,,,,
695,11,6,+0:50,92,,HAYTER EthanINEOS Grenadiers,24,INEOS Grenadiers,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
696,12,16,+1:04,87,,MOLARD RudyGroupama - FDJ,33,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
697,13,7,+0:54,101,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,31,Intermarché - Circus - Wanty,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
698,14,44,+5:27,17,,TOUZÉ DamienAG2R Citroën Team,26,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
699,15,35,+5:04,145,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
700,16,14,+1:03,115,,VADER MilanJumbo-Visma,26,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
701,17,57,+7:32,114,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
702,18,5,+0:46,65,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
703,19,11,+1:01,121,,IZAGIRRE GorkaMovistar Team,35,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
704,20,15,+1:03,46,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
705,21,9,+0:58,47,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
706,22,1,+0:00,141,,VINE JayUAE Team Emirates,27,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
707,23,58,+7:36,45,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
708,24,2,+0:15,2,,YATES SimonTeam Jayco AlUla,30,Team Jayco AlUla,,,1″,",,0:001″",tour-down-under/2023/stage-4,,,,,
709,25,4,+0:45,96,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
710,26,3,+0:15,31,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
711,27,24,+1:39,153,,GESBERT ÉlieTeam Arkéa Samsic,27,Team Arkéa Samsic,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
712,28,17,+1:05,186,,BERWICK SebastianIsrael - Premier Tech,23,Israel - Premier Tech,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
713,29,19,+1:06,61,,CATTANEO MattiaSoudal - Quick Step,32,Soudal - Quick Step,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
714,30,13,+1:01,143,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
715,31,10,+1:00,11,,O'CONNOR BenAG2R Citroën Team,27,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
716,32,20,+1:08,142,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
717,33,25,+1:44,84,,THOMPSON ReubenGroupama - FDJ,21,Groupama - FDJ,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
718,34,21,+1:11,171,,HINDLEY JaiBORA - hansgrohe,26,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
719,35,33,+4:57,122,,ERVITI ImanolMovistar Team,39,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
720,36,22,+1:32,177,,ALEOTTI GiovanniBORA - hansgrohe,23,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
721,37,31,+3:46,155,,LEDANOIS KévinTeam Arkéa Samsic,29,Team Arkéa Samsic,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
722,38,26,+1:45,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
723,39,64,+8:58,126,,MAS LluísMovistar Team,33,Movistar Team,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
724,40,63,+8:45,107,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,0:00",tour-down-under/2023/stage-4,,,,,
725,41,29,+2:58,15,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,,,,0:140:14,tour-down-under/2023/stage-4,,,,,
726,42,52,+6:56,163,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,,,0:230:23,tour-down-under/2023/stage-4,,,,,
727,43,70,+9:28,43,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,",,0:23",tour-down-under/2023/stage-4,,,,,
